Code Name	Organisation Name	UPC Short Name	Organisation Type	Web URL	In Use	School Code	Institution Code	Placement Code	Sponsor Code	Department Code	User Defined Field 01	User Defined Field 02	User Defined Field 03	User Defined Field 04	User Defined Field 05	User Defined Field 06	User Defined Field 07	User Defined Field 08	User Defined Field 09	User Defined Field 10	User Defined Field 11	User Defined Field 12	User Defined Field 13	User Defined Field 14	User Defined Field 15	User Defined Field 16	User Defined Field 17	User Defined Field 18	User Defined Field 19	User Defined Field 20	Agent code	Level	Parent Organisation	Eng Primary Lang?	Status	Status start date	Status end date	Academic year style	Admissibility	Country code	Region code
83	Humboldt University Berlin		HEI	"http://www.hu-berlin.de	"	Y						DE	IAU-007627	IMPORT~27/02/20																	Humboldt-Universität zu Berlin											
84	Renmin University of China		HEI	"https://www.ruc.edu.cn	"	Y						CN	IAU-013971	IMPORT~27/02/20																	Zhongguo Renmin Daxue											
85	Rheinische Friedrich-Wilhelms-Universität Bonn		HEI	"http://www.uni-bonn.de	"	Y						DE	IAU-013983	RNS3~21/01/21																	University of Bonn											
86	University of Hamburg		HEI	"http://www.uni-hamburg.de	"	Y						DE	IAU-019339	IMPORT~27/02/20																	Universität Hamburg											
87	College of William and Mary		HEI	"http://www.wm.edu	"	Y						US	IAU-016444	IMPORT~27/02/20																	College of William and Mary											
88	Aarhus University		HEI	"http://www.au.dk/en	"	Y						DK	IAU-000015	IMPORT~27/02/20																	Århus Universitet											
89	University of Copenhagen		HEI	"http://www.ku.dk	"	Y						DK	IAU-010745	IMPORT~27/02/20																	Københavns Universitet											
90	The American University in Cairo		HEI	"http://www.aucegypt.edu	"	Y						EG	IAU-016377	IMPORT~27/02/20																	The American University in Cairo											
91	Autonomous University of Barcelona		HEI	"http://www.uab.cat	"	Y						ES	IAU-019313	IMPORT~27/02/20																	Universitat Autónoma de Barcelona											
92	Pompeu Fabra University		HEI	"http://www.upf.edu/	"	Y						ES	IAU-019360	IMPORT~27/02/20																	Universitat Pompeu Fabra											
93	University of Deusto		HEI	"http://www.deusto.es	"	Y						ES	IAU-017447	IMPORT~27/02/20																	Universidad de Deusto											
94	University of Granada		HEI	"http://www.ugr.es	"	Y						ES	IAU-017460	IMPORT~27/02/20																	Universidad de Granada											
95	University of Alcalá		HEI	"http://www.uah.es	"	Y						ES	IAU-017386	IMPORT~27/02/20																	Universidad de Alcalá											
96	Universidad de Santiago de Compostela		HEI	"http://www.usc.es	"	Y						ES	IAU-017610	RNS3~02/02/21																	University of Santiago de Compostela											
